id,geometry
0,"POLYGON ((113.8890275441297 22.63368156839501, 113.8890275441297 22.58368156839501, 113.8390275441297 22.58368156839501, 113.8390275441297 22.63368156839501, 113.8890275441297 22.63368156839501))"
1,"POLYGON ((113.8740384006571 22.83864498140301, 113.8740384006571 22.78864498140301, 113.8240384006571 22.78864498140301, 113.8240384006571 22.83864498140301, 113.8740384006571 22.83864498140301))"
2,"POLYGON ((114.5070063596126 22.48608783568292, 114.5070063596126 22.43608783568292, 114.4570063596125 22.43608783568292, 114.4570063596125 22.48608783568292, 114.5070063596126 22.48608783568292))"
3,"POLYGON ((114.1106159712259 22.74644061309584, 114.1106159712259 22.69644061309584, 114.0606159712259 22.69644061309584, 114.0606159712259 22.74644061309584, 114.1106159712259 22.74644061309584))"
4,"POLYGON ((114.022254566078 22.72734200088257, 114.022254566078 22.67734200088257, 113.972254566078 22.67734200088257, 113.972254566078 22.72734200088257, 114.022254566078 22.72734200088257))"
5,"POLYGON ((113.8691943057348 22.61082174108763, 113.8691943057348 22.56082174108763, 113.8191943057347 22.56082174108763, 113.8191943057347 22.61082174108763, 113.8691943057348 22.61082174108763))"
6,"POLYGON ((113.9256531421976 22.83154400635067, 113.9256531421976 22.78154400635067, 113.8756531421976 22.78154400635067, 113.8756531421976 22.83154400635067, 113.9256531421976 22.83154400635067))"
7,"POLYGON ((114.2480476846672 22.77598323231255, 114.2480476846672 22.72598323231255, 114.1980476846672 22.72598323231255, 114.1980476846672 22.77598323231255, 114.2480476846672 22.77598323231255))"
8,"POLYGON ((113.9319345467104 22.56497423667283, 113.9319345467104 22.51497423667283, 113.8819345467104 22.51497423667283, 113.8819345467104 22.56497423667283, 113.9319345467104 22.56497423667283))"
9,"POLYGON ((114.0338713715497 22.57574252778821, 114.0338713715497 22.52574252778821, 113.9838713715497 22.52574252778821, 113.9838713715497 22.57574252778821, 114.0338713715497 22.57574252778821))"
10,"POLYGON ((113.9630388359093 22.55001044907268, 113.9630388359093 22.50001044907268, 113.9130388359093 22.50001044907268, 113.9130388359093 22.55001044907268, 113.9630388359093 22.55001044907268))"
11,"POLYGON ((113.8711774451853 22.6562525226611, 113.8711774451853 22.6062525226611, 113.8211774451853 22.6062525226611, 113.8211774451853 22.6562525226611, 113.8711774451853 22.6562525226611))"
12,"POLYGON ((114.3578614427042 22.6398313900469, 114.3578614427042 22.5898313900469, 114.3078614427042 22.5898313900469, 114.3078614427042 22.6398313900469, 114.3578614427042 22.6398313900469))"
13,"POLYGON ((113.8703070724144 22.6706603837662, 113.8703070724144 22.6206603837662, 113.8203070724144 22.6206603837662, 113.8203070724144 22.6706603837662, 113.8703070724144 22.6706603837662))"
14,"POLYGON ((114.0340466107191 22.73115882719492, 114.0340466107191 22.68115882719493, 113.984046610719 22.68115882719493, 113.984046610719 22.73115882719492, 114.0340466107191 22.73115882719492))"
15,"POLYGON ((113.9576610939355 22.70553065027057, 113.9576610939355 22.65553065027058, 113.9076610939354 22.65553065027058, 113.9076610939354 22.70553065027057, 113.9576610939355 22.70553065027057))"
16,"POLYGON ((114.3649797860277 22.77318911672663, 114.3649797860277 22.72318911672663, 114.3149797860277 22.72318911672663, 114.3149797860277 22.77318911672663, 114.3649797860277 22.77318911672663))"
17,"POLYGON ((113.9473610805243 22.86425182251584, 113.9473610805243 22.81425182251584, 113.8973610805243 22.81425182251584, 113.8973610805243 22.86425182251584, 113.9473610805243 22.86425182251584))"
18,"POLYGON ((114.3631714511581 22.6579606908126, 114.3631714511581 22.6079606908126, 114.3131714511581 22.6079606908126, 114.3131714511581 22.6579606908126, 114.3631714511581 22.6579606908126))"
19,"POLYGON ((114.0159990757086 22.60158599900244, 114.0159990757086 22.55158599900244, 113.9659990757086 22.55158599900244, 113.9659990757086 22.60158599900244, 114.0159990757086 22.60158599900244))"
