id,geometry
0,"POLYGON ((113.8690275441297 22.61368156839501, 113.8690275441297 22.60368156839501, 113.8590275441297 22.60368156839501, 113.8590275441297 22.61368156839501, 113.8690275441297 22.61368156839501))"
1,"POLYGON ((113.8540384006571 22.81864498140301, 113.8540384006571 22.80864498140301, 113.8440384006571 22.80864498140301, 113.8440384006571 22.81864498140301, 113.8540384006571 22.81864498140301))"
2,"POLYGON ((114.4870063596126 22.46608783568292, 114.4870063596126 22.45608783568292, 114.4770063596126 22.45608783568292, 114.4770063596126 22.46608783568292, 114.4870063596126 22.46608783568292))"
3,"POLYGON ((114.0906159712259 22.72644061309584, 114.0906159712259 22.71644061309584, 114.0806159712259 22.71644061309584, 114.0806159712259 22.72644061309584, 114.0906159712259 22.72644061309584))"
4,"POLYGON ((114.002254566078 22.70734200088257, 114.002254566078 22.69734200088257, 113.992254566078 22.69734200088257, 113.992254566078 22.70734200088257, 114.002254566078 22.70734200088257))"
5,"POLYGON ((113.8491943057347 22.59082174108763, 113.8491943057347 22.58082174108763, 113.8391943057348 22.58082174108763, 113.8391943057348 22.59082174108763, 113.8491943057347 22.59082174108763))"
6,"POLYGON ((113.9056531421976 22.81154400635067, 113.9056531421976 22.80154400635067, 113.8956531421976 22.80154400635067, 113.8956531421976 22.81154400635067, 113.9056531421976 22.81154400635067))"
7,"POLYGON ((114.2280476846672 22.75598323231255, 114.2280476846672 22.74598323231255, 114.2180476846672 22.74598323231255, 114.2180476846672 22.75598323231255, 114.2280476846672 22.75598323231255))"
8,"POLYGON ((113.9119345467104 22.54497423667283, 113.9119345467104 22.53497423667283, 113.9019345467104 22.53497423667283, 113.9019345467104 22.54497423667283, 113.9119345467104 22.54497423667283))"
9,"POLYGON ((114.0138713715497 22.55574252778821, 114.0138713715497 22.54574252778821, 114.0038713715497 22.54574252778821, 114.0038713715497 22.55574252778821, 114.0138713715497 22.55574252778821))"
10,"POLYGON ((113.9430388359093 22.53001044907268, 113.9430388359093 22.52001044907268, 113.9330388359093 22.52001044907268, 113.9330388359093 22.53001044907268, 113.9430388359093 22.53001044907268))"
11,"POLYGON ((113.8511774451853 22.6362525226611, 113.8511774451853 22.6262525226611, 113.8411774451853 22.6262525226611, 113.8411774451853 22.6362525226611, 113.8511774451853 22.6362525226611))"
12,"POLYGON ((114.3378614427042 22.6198313900469, 114.3378614427042 22.6098313900469, 114.3278614427042 22.6098313900469, 114.3278614427042 22.6198313900469, 114.3378614427042 22.6198313900469))"
13,"POLYGON ((113.8503070724144 22.6506603837662, 113.8503070724144 22.6406603837662, 113.8403070724144 22.6406603837662, 113.8403070724144 22.6506603837662, 113.8503070724144 22.6506603837662))"
14,"POLYGON ((114.014046610719 22.71115882719493, 114.014046610719 22.70115882719493, 114.0040466107191 22.70115882719493, 114.0040466107191 22.71115882719493, 114.014046610719 22.71115882719493))"
15,"POLYGON ((113.9376610939354 22.68553065027058, 113.9376610939354 22.67553065027058, 113.9276610939355 22.67553065027058, 113.9276610939355 22.68553065027058, 113.9376610939354 22.68553065027058))"
