id,geometry
0,"POLYGON ((114.4352290631662 22.72745450479535, 114.4352290631662 22.67745450479535, 114.3852290631662 22.67745450479535, 114.3852290631662 22.72745450479535, 114.4352290631662 22.72745450479535))"
1,"POLYGON ((113.9590128676304 22.78464879179306, 113.9590128676304 22.73464879179306, 113.9090128676304 22.73464879179306, 113.9090128676304 22.78464879179306, 113.9590128676304 22.78464879179306))"
2,"POLYGON ((114.1043916068626 22.75473918981031, 114.1043916068626 22.70473918981032, 114.0543916068626 22.70473918981032, 114.0543916068626 22.75473918981031, 114.1043916068626 22.75473918981031))"
3,"POLYGON ((113.9728293631783 22.74113853628555, 113.9728293631783 22.69113853628555, 113.9228293631783 22.69113853628555, 113.9228293631783 22.74113853628555, 113.9728293631783 22.74113853628555))"
4,"POLYGON ((114.5482319758292 22.57032947425052, 114.5482319758292 22.52032947425053, 114.4982319758291 22.52032947425053, 114.4982319758291 22.57032947425052, 114.5482319758292 22.57032947425052))"
5,"POLYGON ((114.3413560657423 22.78633318273879, 114.3413560657423 22.73633318273879, 114.2913560657423 22.73633318273879, 114.2913560657423 22.78633318273879, 114.3413560657423 22.78633318273879))"
6,"POLYGON ((113.786764343511 22.71336100264517, 113.786764343511 22.66336100264517, 113.736764343511 22.66336100264517, 113.736764343511 22.71336100264517, 113.786764343511 22.71336100264517))"
7,"POLYGON ((114.3108156132996 22.70917553234813, 114.3108156132996 22.65917553234814, 114.2608156132995 22.65917553234814, 114.2608156132995 22.70917553234813, 114.3108156132996 22.70917553234813))"
8,"POLYGON ((113.8851579920101 22.79544140525519, 113.8851579920101 22.74544140525519, 113.8351579920101 22.74544140525519, 113.8351579920101 22.79544140525519, 113.8851579920101 22.79544140525519))"
9,"POLYGON ((113.8618093910457 22.63290946245399, 113.8618093910457 22.58290946245399, 113.8118093910457 22.58290946245399, 113.8118093910457 22.63290946245399, 113.8618093910457 22.63290946245399))"
10,"POLYGON ((113.9970297672555 22.69039769499677, 113.9970297672555 22.64039769499677, 113.9470297672554 22.64039769499677, 113.9470297672554 22.69039769499677, 113.9970297672555 22.69039769499677))"
11,"POLYGON ((113.9839797776785 22.75447919693182, 113.9839797776785 22.70447919693182, 113.9339797776785 22.70447919693182, 113.9339797776785 22.75447919693182, 113.9839797776785 22.75447919693182))"
12,"POLYGON ((114.3114570838641 22.73949841926636, 114.3114570838641 22.68949841926636, 114.261457083864 22.68949841926636, 114.261457083864 22.73949841926636, 114.3114570838641 22.73949841926636))"
