id,geometry
0,"POLYGON ((114.4152290631662 22.70745450479535, 114.4152290631662 22.69745450479535, 114.4052290631662 22.69745450479535, 114.4052290631662 22.70745450479535, 114.4152290631662 22.70745450479535))"
1,"POLYGON ((113.9390128676304 22.76464879179306, 113.9390128676304 22.75464879179306, 113.9290128676304 22.75464879179306, 113.9290128676304 22.76464879179306, 113.9390128676304 22.76464879179306))"
2,"POLYGON ((114.0843916068626 22.73473918981031, 114.0843916068626 22.72473918981031, 114.0743916068626 22.72473918981031, 114.0743916068626 22.73473918981031, 114.0843916068626 22.73473918981031))"
3,"POLYGON ((113.9528293631783 22.72113853628555, 113.9528293631783 22.71113853628555, 113.9428293631783 22.71113853628555, 113.9428293631783 22.72113853628555, 113.9528293631783 22.72113853628555))"
4,"POLYGON ((114.5282319758291 22.55032947425052, 114.5282319758291 22.54032947425053, 114.5182319758292 22.54032947425053, 114.5182319758292 22.55032947425052, 114.5282319758291 22.55032947425052))"
5,"POLYGON ((114.3213560657423 22.76633318273879, 114.3213560657423 22.75633318273879, 114.3113560657423 22.75633318273879, 114.3113560657423 22.76633318273879, 114.3213560657423 22.76633318273879))"
6,"POLYGON ((113.766764343511 22.69336100264517, 113.766764343511 22.68336100264517, 113.756764343511 22.68336100264517, 113.756764343511 22.69336100264517, 113.766764343511 22.69336100264517))"
7,"POLYGON ((114.2908156132995 22.68917553234813, 114.2908156132995 22.67917553234814, 114.2808156132996 22.67917553234814, 114.2808156132996 22.68917553234813, 114.2908156132995 22.68917553234813))"
8,"POLYGON ((113.8651579920101 22.77544140525519, 113.8651579920101 22.76544140525519, 113.8551579920101 22.76544140525519, 113.8551579920101 22.77544140525519, 113.8651579920101 22.77544140525519))"
9,"POLYGON ((113.8418093910457 22.61290946245399, 113.8418093910457 22.60290946245399, 113.8318093910457 22.60290946245399, 113.8318093910457 22.61290946245399, 113.8418093910457 22.61290946245399))"
10,"POLYGON ((113.9770297672554 22.67039769499677, 113.9770297672554 22.66039769499677, 113.9670297672555 22.66039769499677, 113.9670297672555 22.67039769499677, 113.9770297672554 22.67039769499677))"
11,"POLYGON ((113.9639797776785 22.73447919693182, 113.9639797776785 22.72447919693182, 113.9539797776785 22.72447919693182, 113.9539797776785 22.73447919693182, 113.9639797776785 22.73447919693182))"
